vendor_row_id,canonical_brand_name,source_brand_variants,company_name,company_pt,website_url,instagram_url,address,action,matched_existing_hint,source_sheet,source_rows,source_checksum
v0052,BOWE,BOWE,,,,https://www.instagram.com/bowe.id/,Tangerang,INSERT_NEW,,List,64;65;66,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0053,Brescia,Brescia,,,https://www.bresciastonebali.com/,https://www.instagram.com/bresciastone_bali_official/,Bali,INSERT_NEW,,List,67;68,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0054,Brewsuniq Space,Brewsuniq Space,,,https://www.brewsuniq.com/,https://www.instagram.com/brewsuniq.space?igsh=MXFzODNkdmdpbDZ4Nw==,Tangerang,INSERT_NEW,,List,69,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0055,Bunka Panca Karya,Bunka Panca Karya,,,https://www.bunkapancakarya.com/,https://www.instagram.com/ptbunkapancakarya,Jakarta,INSERT_NEW,,List,70,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0056,Byoliving,Byoliving,,,https://byoliving.com/,https://www.instagram.com/byoliving/,Jakarta,INSERT_NEW,,List,71,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0057,Byucksan - Paper Yarn,Byucksan - Paper Yarn,,,https://linktr.ee/paperyarn,https://www.instagram.com/paperyarn_id,Jakarta,INSERT_NEW,,List,72,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0058,Cambium Home,Cambium Home,,CV Cambium Furniture,https://www.cambiumhome.com/,https://www.instagram.com/cambiumhome/,Jepara,INSERT_NEW,,List,73,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0059,CARA Living,CARA Living,,,,https://www.instagram.com/caraliving.id/?hl=en,Jakarta,INSERT_NEW,,List,74,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0060,Cattelan Italia,Cattelan Italia,,,,https://www.instagram.com/cattelanitalia.id/,"Jakarta, Surabaya, Bandung, Medan",INSERT_NEW,,List,75,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0061,Cellux Ceiling,Cellux Ceiling,,,https://www.celluxceilingasia.com/,https://www.instagram.com/cellux.ceiling/?hl=en,Jakarta,INSERT_NEW,,List,76,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
